promoted,review,projects,salary,tenure,satisfaction,bonus,department_admin,department_engineering,department_finance,department_logistics,department_marketing,department_operations,department_retail,department_sales,department_support
0,0.09726270294285114,-0.47678410023296697,2,-1.1116271607635833,1.5975757018949635,0,False,False,True,False,False,False,False,False,False
0,-0.7406237647638547,-0.47678410023296697,1,1.0181537974282584,0.6425643469791763,0,False,False,False,False,False,False,False,True,False
0,-0.09421260541460598,1.2583545276981924,1,-1.1116271607635833,1.2901799295006786,0,True,False,False,False,False,False,False,False,False
0,-0.17414697386378214,-0.47678410023296697,1,-1.1116271607635833,0.5059694794607275,1,False,False,False,False,True,False,False,False,False
0,-1.5448028616321143,-0.47678410023296697,1,-1.1116271607635833,1.9329420343947112,0,False,False,False,False,False,False,True,False,False
0,-0.11649513254731982,-0.47678410023296697,1,-0.40170017469963604,0.9254993421712912,1,False,False,False,False,False,False,False,True,False
0,-0.48669331393816523,1.2583545276981924,1,-0.40170017469963604,0.9959619145092017,0,False,False,False,False,True,False,False,False,False
0,2.511737233885422,-0.47678410023296697,1,-1.1116271607635833,-0.8700850914360031,1,False,False,False,False,False,True,False,False,False
0,-1.3238975583824033,-0.47678410023296697,1,1.7280807834922054,0.05955877995392102,0,False,False,False,False,False,False,False,True,False
0,-1.4060117691985583,1.2583545276981924,1,1.0181537974282584,-0.23846621481965158,1,False,False,False,False,True,False,False,False,False
1,-0.39872713871152754,-0.47678410023296697,1,0.3082268113643111,-0.9929487027652989,0,False,True,False,False,False,False,False,False,False
0,-2.7270829348383727,2.993493155629352,1,0.3082268113643111,2.381906720148964,0,False,False,False,False,True,False,False,False,False
0,-0.7989810832627877,-0.47678410023296697,1,1.0181537974282584,0.5055570781150743,0,False,False,False,False,False,False,False,False,False
0,-0.08025280540798892,-0.47678410023296697,1,0.3082268113643111,-1.4777899392312699,1,False,False,False,False,False,False,True,False,False
0,1.0148095643486796,-0.47678410023296697,2,-0.40170017469963604,-0.5469159330724584,0,False,False,False,False,False,False,True,False,False
0,-0.6408838302685314,1.2583545276981924,1,-1.1116271607635833,1.2166815692932322,0,False,False,False,False,False,False,True,False,False
